ID,measure_pavement_age,measure_pavement_condition,measure_safety,measure_mobility,measure_reliability,measure_change_in_vmt,measure_change_in_congested_vht_in_corridor,measure_change_in_regional_work_trip_travel_time,measure_change_in_work_trip_travel_time_in_corridor,measure_change_in_job_accessibility,measure_change_in_fatalities_and_serious_injuries_per_year,measure_change_in_congested_vht_for_heavy_trucks_in_corridor,measure_freight_improvement,measure_change_in_co2_emissions,measure_change_in_pm_emissions,measure_change_in_development_pressure_in_conservation_areas,measure_direct_impact_on_conservation_areas,measure_change_in_impervious_area,measure_project_use_by_residents_of_economically_disconnected_areas,measure_change_in_fine_particulate_matter_emissions_in_economically_disconnected_areas,measure_change_in_access_to_1_barrier_jobs_for_economically_disconnected_areas,measure_economic_impact_due_to_industry_clustering,measure_benefit_to_key_industries,measure_benefits_to_areas_with_industrial_vacancy,measure_transit_asset_condition,measure_transit_reliability,measure_change_in_regional_transit__ridership,measure_support_of_infill_development,measure_change_in_congested_vehicle_hours_traveled_in_region,measure_change_in_congested_vht_for_heavy_trucks_in_region,measure_bike_ped_stuff
RSP20_700,,,,,,-1805069.4853818417,-55541.762977990205,,,,-183.6086526076897,-4498.308442532449,,-888372776.2500763,-16128.034294060082,,,,1342337.0021172801,,,,,,,,,,-265134.7965675448,-22628.645952104765,
RSP57_700,,,,,,,,,,,,,,-901588896.653122,-16442.645694049308,,,,1342337.0021172801,,,,,,,,11301014,,,,
